,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
6340,apartment-block,jemelle,5580,10649725,550000,Chaussee de Marche 488,6,D,331.0,0,0,0,290,0,2,1918,0,0,0,5,0,5,Semi equipped,Gas,550000,€550000,0,Namur,Wallonia
6343,mansion,rupelmonde,9150,10649706,395000,Kerkstraat 2,3,C,258.0,0,1,0,0,61,3,1918,Good,0,1,0,0,2,Installed,Gas,395000,€395000,1,Oost-Vlaanderen,Flanders
6344,house,vilvoorde,1800,10649704,637000,Brusselsesteenweg 65,3,F,1164.0,0,0,0,535,44,4,1964,To be done up,0,1,0,0,2,Semi equipped,Fuel oil,637000,€637000,0,Vlaams-Brabant,Flanders
6345,house,kortrijk,8500,10649681,285000,Stationsstraat 18,3,B,144.0,0,1,0,115,0,2,0,As new,0,1,0,0,2,Installed,Gas,285000,€285000,1,West-Vlaanderen,Flanders
6347,apartment,kortrijk,8500,10649679,195000,Stationsstraat 18,2,B,123.0,0,1,0,0,0,2,0,Good,0,1,0,0,1,Semi equipped,Gas,195000,€195000,1,West-Vlaanderen,Flanders
6350,house,la%20louvi%C3%88re,7100,10649675,199000,Rue de la Falize 17,4,D,282.0,0,0,0,209,20,2,1950,Just renovated,0,1,1,0,2,Installed,Gas,199000,€199000,0,Hainaut,Wallonia
6351,apartment,mouscron,7700,10444040,129000,4 rue du Luxembourg,2,G,599.0,0,1,15,0,0,0,0,0,0,1,0,0,1,0,0,129000,€129000,1,Hainaut,Wallonia
6352,house,houthulst,8650,10649666,249000,Boterstraat 39,3,E,421.0,0,1,0,518,0,3,0,Good,0,1,0,0,2,Installed,Gas,249000,€249000,1,West-Vlaanderen,Flanders
6353,apartment-block,nivelles,1400,10649665,445000,Chaussée de Mons 14,4,E,404.0,0,1,8,165,21,2,1955,Good,0,2,0,0,3,Not installed,Gas,445000,€445000,1,Brabant wallon,Wallonia
6354,flat-studio,andenne,5300,10649664,99000,Place des Tilleuls 48,1,E,407.0,0,0,0,0,0,3,1874,Good,0,1,0,0,0,0,Pellet,99000,€99000,0,Namur,Wallonia
6355,house,nivelles,1400,10649663,478000,Chaussée de Mons 14,3,G,567.0,0,1,7,952,22,4,1936,To renovate,0,1,0,1,2,Semi equipped,Fuel oil,478000,€478000,1,Brabant wallon,Wallonia
6356,house,nivelles,1400,10649662,368000,Chaussée de Mons 14,3,G,567.0,0,1,7,489,22,4,1936,To renovate,0,1,0,1,2,Semi equipped,Fuel oil,368000,€368000,1,Brabant wallon,Wallonia
6357,country-cottage,villers-la-ville,1495,10649661,350000,Chaussée de Mons 14,4,G,697.0,0,1,0,920,36,3,1830,To renovate,0,0,1,1,2,Semi equipped,Fuel oil,350000,€350000,1,Brabant wallon,Wallonia
6358,apartment,la%20louvi%C3%88re,7100,10649659,258978,Chaussée de Mons 14,3,A,55.0,0,1,16,0,26,4,2021,0,0,1,1,0,2,USA hyper equipped,Gas,258978,€258978,1,Hainaut,Wallonia
6359,mixed-use-building,nivelles,1400,10649658,445000,Chaussée de Mons 14,4,E,404.0,0,1,8,165,21,2,1955,Good,0,2,0,0,3,Not installed,Gas,445000,€445000,1,Brabant wallon,Wallonia
6360,apartment,charleroi,6000,10649655,229900,Rue de gilly 81,2,C,227.0,1,1,3,0,38,2,0,Good,0,1,1,0,1,Semi equipped,Gas,229900,€229900,1,Hainaut,Wallonia
6361,house,gistel,8470,10649653,199000,Stationstraat 58,4,F,647.0,0,0,0,268,0,2,0,To renovate,0,0,0,0,0,0,0,199000,€199000,0,West-Vlaanderen,Flanders
6362,house,sainte-ode,6680,10586848,170000,Route de Marche 143,3,F,469.0,0,0,0,1110,0,4,1899,To renovate,0,2,0,0,0,0,Fuel oil,170000,€170000,0,Luxembourg,Wallonia
6363,house,borgerhout,2140,10649647,189000,Italiëlei 207,4,D,304.0,0,0,0,52,0,2,1922,To renovate,0,1,0,0,1,Semi equipped,Gas,189000,€189000,0,Antwerpen,Flanders
6364,villa,grobbendonk,2280,10551420,869000,Bredabaan 260,3,B,111.0,0,0,0,1228,45,4,2011,As new,0,3,0,1,3,Installed,Gas,869000,€869000,0,Antwerpen,Flanders
6365,house,brasschaat,2930,10649645,650000,Bredabaan 260,4,F,600.0,0,1,0,2435,0,4,1972,As new,0,2,0,0,0,Installed,0,650000,€650000,1,Antwerpen,Flanders
6366,house,marchienne-au-pont,6030,10649644,105000,"Avenue Paul Pastur, 37",2,F,486.0,0,0,0,0,0,0,0,0,0,0,1,0,1,Semi equipped,Fuel oil,105000,€105000,0,Hainaut,Wallonia
6367,house,houdeng-goegnies,7110,10649626,320000,Grand Place 33,6,B,128.0,0,1,0,313,0,3,2009,As new,0,0,1,0,2,Installed,Gas,320000,€320000,1,Hainaut,Wallonia
6368,house,mechelen,2800,10649625,265000,"Liersesteenweg , 394",2,C,208.0,0,0,0,123,0,0,0,Good,0,1,0,0,1,Installed,Gas,265000,€265000,0,Antwerpen,Flanders
6369,apartment,mechelen,2800,10649624,245000,"Liersesteenweg , 394",2,B,130.0,0,0,0,0,0,0,1992,0,0,1,0,0,1,0,0,245000,€245000,0,Antwerpen,Flanders
6370,apartment,fleurus,6220,10649622,175000,Chaussée de Charleroi 226,2,A,83.0,0,1,13,0,32,4,2003,0,0,1,0,0,1,USA semi equipped,Gas,175000,€175000,1,Hainaut,Wallonia
6371,apartment,ixelles,1050,10649621,515000,Avenue Paul Janson 82,3,D,203.0,0,1,3,0,40,2,0,Just renovated,0,1,1,1,1,Installed,Gas,515000,€515000,1,Brussels Hoofdstedelijk Gewest,Brussels
6374,house,heule,8501,10649616,139000,Doorniksestraat 33,3,F,777.0,0,1,25,633,0,2,0,To renovate,0,1,0,0,1,0,Gas,139000,€139000,1,West-Vlaanderen,Flanders
6375,apartment-block,kortrijk,8500,10649615,365000,Doorniksestraat 33,6,F,837.0,1,0,0,0,0,3,0,Good,0,1,0,0,1,Installed,0,365000,€365000,0,West-Vlaanderen,Flanders
6376,loft,vilvoorde,1800,10649614,475000,Leuvensestraat 170,1,C,216.0,0,1,92,0,0,0,0,0,0,1,0,0,1,Not installed,0,475000,€475000,1,Vlaams-Brabant,Flanders
6377,bungalow,raeren,4730,10649612,268000,Bergstrasse 44,2,F,427.0,0,1,0,799,0,4,0,Good,0,1,0,0,0,Installed,Fuel oil,268000,€268000,1,Liï¿½ge,Wallonia
6378,villa,thy-le-ch%C3%A2teau,5651,10649608,420000,Place du Centre 2,4,C,239.0,0,1,30,1186,24,4,1995,Good,0,2,1,1,3,Installed,Fuel oil,420000,€420000,1,Namur,Wallonia
6381,house,rumillies,7540,10649589,189000,"rue Saint-Martin, 5",2,F,509.0,0,0,0,0,37,3,0,To restore,0,1,0,0,1,0,0,189000,€189000,0,Hainaut,Wallonia
6382,apartment,harelbeke,8530,10649584,139000,Vierkeerstraat 2 bus 2,1,C,230.0,0,0,0,0,28,2,1986,Good,0,1,0,0,1,0,Gas,139000,€139000,0,West-Vlaanderen,Flanders
6384,penthouse,merchtem,1785,10340302,625000,Oudstrijdersstraat 66/2,4,B,182.0,0,1,0,0,0,0,2006,Good,0,1,0,0,1,0,0,625000,€625000,1,Vlaams-Brabant,Flanders
6385,house,avin,4280,10649556,235000,Rue de Landen 35,3,F,508.0,0,1,0,1839,0,0,0,0,0,1,0,0,1,0,Wood,235000,€235000,1,Liï¿½ge,Wallonia
6386,manor-house,antwerpen,2600,10649555,825000,"Vanderpoortenlaan, 15",4,E,486.0,0,0,0,1250,45,3,0,Good,0,1,0,0,2,0,Gas,825000,€825000,0,Antwerpen,Flanders
6387,house,gent,9030,10649550,350000,"Kortrijksesteenweg, 390 bus 001",2,D,397.0,0,0,0,180,0,3,1918,To renovate,0,1,0,0,1,Semi equipped,Gas,350000,€350000,0,Oost-Vlaanderen,Flanders
