,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
3742,799000,Prof. Scharpélaan 44,12,A,99,0,0,0,6314,0,4,2000,0,0,2,1,0,2,Semi equipped,Fuel oil,10655732,3120,799000,€799000,0,Vlaams-Brabant,Flanders
3743,295000,"Rue des Minières, 65",4,Not specified,Not specified,0,0,0,171,28,3,0,Good,0,1,1,0,2,0,Fuel oil,10655725,4860,295000,€295000,0,Liï¿½ge,Wallonia
3744,249000,James Ensorlaan 39,2,F,295,0,1,9,0,35,2,1968,Good,0,1,0,0,1,Installed,Gas,10489947,1080,249000,€249000,1,Brussels Hoofdstedelijk Gewest,Brussels
3745,445000,James Ensorlaan 39,3,D,325,0,1,60,319,0,3,1953,Just renovated,0,1,0,0,2,Installed,Gas,10655721,1800,445000,€445000,1,Vlaams-Brabant,Flanders
3746,385000,Avenuedes Ardennes 7d,3,F,503,0,1,43,2140,40,4,0,As new,0,1,0,0,1,Installed,Gas,10655719,4570,385000,€385000,1,Liï¿½ge,Wallonia
3747,560000,Avenue louise 523,3,D,193,0,0,0,0,86,0,0,0,0,1,0,0,2,0,0,10655716,1070,560000,€560000,0,Brussels Hoofdstedelijk Gewest,Brussels
3748,1450000,Avenue louise 523,4,G,473,0,1,11,1540,56,4,1940,To renovate,0,1,0,0,2,Installed,Fuel oil,10655715,1180,1450000,€1450000,1,Brussels Hoofdstedelijk Gewest,Brussels
3749,370000,Avenue louise 523,2,D,171,0,0,0,0,30,2,0,0,0,1,0,0,1,Hyper equipped,Fuel oil,10655714,1040,370000,€370000,0,Brussels Hoofdstedelijk Gewest,Brussels
3750,275000,Izegemstraat 355,2,F,1217,0,1,0,995,0,3,0,To renovate,0,0,0,0,0,0,0,10655706,8750,275000,€275000,1,West-Vlaanderen,Flanders
3751,609500,Avenue Louise 200,3,F,327,0,0,0,0,0,0,0,As new,0,1,0,0,2,Not installed,0,10655702,1050,609500,€609500,0,Brussels Hoofdstedelijk Gewest,Brussels
