,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1138,house,house,10664525,berchem,2600,Antwerpen,Flanders,249000,Gitschotellei 106,F,508.0,0,0,0,102,25,2,0,To renovate,3,1,0,0,0,Semi equipped,Gas,€249000
1139,house,house,10664518,rebecq,1430,Brabant wallon,Wallonia,197500,Avenue Alphonse Allard 288,G,573.0,0,0,0,274,22,2,0,To renovate,3,1,0,0,0,0,Gas,€197500
1140,house,house,10664517,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,359000,Chaussée de Helmet  239,F,292.0,0,0,0,6,0,2,0,0,4,1,1,0,2,Installed,Gas,€359000
1141,house,house,10664514,olen,2250,Antwerpen,Flanders,465000,Fraikinstraat 7,D,332.0,0,0,0,814,64,4,1982,Good,3,1,0,1,0,0,Gas,€465000
1142,house,house,10664510,haaltert,9450,Oost-Vlaanderen,Flanders,125000,Steenweg op Aalst 96,F,1112.0,0,0,0,160,20,4,0,To renovate,2,0,0,0,1,Semi equipped,0,€125000
1143,apartment,apartment,10664507,lommel,3920,Limburg,Flanders,279000,Kapittelhof 22,D,326.0,0,1,0,0,0,2,1996,Good,2,1,0,0,0,Hyper equipped,Gas,€279000
1144,house,house,10664506,liedekerke,1770,Vlaams-Brabant,Flanders,359000,"Ninoofsesteenweg, 255",F,672.0,0,0,0,3025,33,3,1957,To be done up,3,1,0,0,0,0,Gas,€359000
1145,house,house,10664501,malderen,1840,Vlaams-Brabant,Flanders,485000,Grote Baan 137,B,196.0,0,0,0,634,36,4,1969,Good,4,2,0,0,2,Installed,0,€485000
1146,house,house,10664499,heist-aan-zee,8301,West-Vlaanderen,Flanders,374000,Natiënlaan 199,C,280.0,0,1,0,220,0,2,0,0,4,1,0,0,2,Installed,0,€374000
1147,house,house,10664498,knokke,8300,West-Vlaanderen,Flanders,229000,Natiënlaan 199,C,279.36,0,1,0,244,0,2,1951,Good,3,1,0,0,1,Installed,0,€229000
