,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
799,house,house,10665649,goesnes,5353,Namur,Wallonia,565000,Avenuedes Ardennes 7d,5,E,345.0,0,0,0,2300,45,4,1850,Good,0,2,0,0,2,Installed,Fuel oil,565000,€565000,0
800,house,house,10665647,froidmont,7504,Hainaut,Wallonia,259000,Avenue de Maire 202,4,E,412.0,0,0,0,810,0,2,0,0,0,1,0,0,0,0,Fuel oil,259000,€259000,0
801,house,house,10665641,moorslede,8890,West-Vlaanderen,Flanders,375000,Grote Markt 13,5,E,405.0,0,1,0,630,0,4,1983,Good,0,1,0,0,1,Installed,Electric,375000,€375000,1
802,apartment,apartment,10468164,de%20panne,8660,West-Vlaanderen,Flanders,209000,Zeelaan 176A,1,B,151.0,1,0,0,0,0,2,1990,Just renovated,0,1,0,0,1,Installed,Gas,209000,€209000,0
803,house,house,10665638,londerzeel,1840,Vlaams-Brabant,Flanders,485000,Grote Baan 137,4,B,196.0,0,0,0,634,36,4,1969,Good,0,2,0,0,2,Installed,0,485000,€485000,0
804,house,house,10665634,gent,9000,Oost-Vlaanderen,Flanders,319000,Begijnhofdries 31,4,D,317.0,0,0,0,51,0,2,0,0,0,1,0,0,1,0,0,319000,€319000,0
805,house,house,10665633,gent,9000,Oost-Vlaanderen,Flanders,619000,Begijnhofdries 31,4,B,139.0,0,0,0,176,0,3,0,As new,0,2,0,0,2,0,0,619000,€619000,0
806,house,house,10665632,gent,9050,Oost-Vlaanderen,Flanders,429000,Begijnhofdries 31,3,A,99.0,0,0,0,75,0,2,0,As new,0,1,0,0,1,0,0,429000,€429000,0
807,house,house,10665630,heule,8501,West-Vlaanderen,Flanders,184000,Gasthuisstraat 1,4,F,566.0,0,0,0,804,0,3,0,To renovate,0,1,0,0,1,Installed,Gas,184000,€184000,0
808,house,house,10665629,ledegem,8880,West-Vlaanderen,Flanders,189000,Gasthuisstraat 1,4,F,615.0,0,0,0,318,0,2,0,Good,0,1,0,0,1,Installed,0,189000,€189000,0
817,apartment,apartment,10665618,tielt,8700,West-Vlaanderen,Flanders,205000,Baron De Pélichystraat 47,3,B,177.0,0,0,0,0,0,2,1971,Good,0,0,0,0,0,0,0,205000,€205000,0
