,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Terrace2,Provincie,Gemeenschap
4581,€180000,Rue de Namur 93,2,C,230,0,1,7,0,26,2,1976,To be done up,0,0,1,0,1,Semi equipped,Gas,10654977,1400,180000,1,Brabant wallon,Wallonia
4582,€188000,Poteauerstrasse 90,3,D,313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10583865,4700,188000,0,Liï¿½ge,Wallonia
4583,€1625000,Ch. de Waterloo 1354,7,E,247,0,1,0,620,0,3,1970,Good,0,4,4,0,5,Hyper equipped,0,10654962,1180,1625000,1,Brussels Hoofdstedelijk Gewest,Brussels
4584,€949000,Chaussée de Bruxelles 168,6,C,256,0,0,0,1018,45,4,1970,As new,0,2,0,0,2,Installed,Gas,88,3,949000,0,,
4585,€348000,Kapelsesteenweg 348,2,Not specified,Not specified,0,1,12,0,40,0,0,As new,0,0,0,0,1,Hyper equipped,Electric,10654943,2930,348000,1,Antwerpen,Flanders
4586,€350000,rue Saint-Gilles 590,3,C,176,0,1,0,1015,28,3,0,0,0,0,1,0,2,Installed,Gas,9,3,350000,1,,
4587,€1255000,Boulevard Saint Michel 75,5,Not specified,Not specified,0,1,20,0,60,4,1963,0,0,1,1,1,3,Hyper equipped,Fuel oil,10654938,1150,1255000,1,Brussels Hoofdstedelijk Gewest,Brussels
4588,€280000,Prins Boudewijnlaaan 318,2,C,290,0,1,10,152,0,2,0,Good,0,1,0,0,2,Installed,Gas,10654931,2610,280000,1,Antwerpen,Flanders
4589,€315000,Zeedijk 127-128,2,C,247,1,1,0,0,0,2,1999,Good,0,1,0,0,0,Installed,Electric,10654930,8434,315000,1,West-Vlaanderen,Flanders
4590,€420000,Zeedijk 127-128,2,D,378,1,1,0,0,0,2,2002,Good,0,1,0,0,1,Semi equipped,Electric,10654929,8430,420000,1,West-Vlaanderen,Flanders
4591,€428000,Avenue Paul pastur 380,5,G,666,0,1,25,3200,58,4,0,0,0,2,0,0,3,Installed,Gas,10654927,6032,428000,1,Hainaut,Wallonia
4592,€250000,Chaussée de Louvain 244,2,G,875,0,0,0,1510,24,3,0,To renovate,0,0,1,0,1,Not installed,0,10654926,1457,250000,0,Brabant wallon,Wallonia
4593,€549000,Chaussée de Louvain 244,3,A+,35,0,0,0,2120,28,4,2020,0,0,1,0,1,3,Installed,0,10654925,1390,549000,0,Brabant wallon,Wallonia
4594,€410000,Groenestraat 2,3,B,152,0,1,0,595,0,4,0,Good,0,0,0,0,2,Installed,Gas,10654921,8211,410000,1,West-Vlaanderen,Flanders
4595,€199000,Rue Chalmagne 2,2,Not specified,Not specified,0,1,13,1136,23,2,0,Good,0,2,0,0,2,Installed,Fuel oil,10654918,6530,199000,1,Hainaut,Wallonia
4596,€199000,Rue Chalmagne 2,2,Not specified,Not specified,0,1,13,1136,23,2,0,Good,0,2,0,0,2,Installed,Fuel oil,10654917,6530,199000,1,Hainaut,Wallonia
4597,€545000,Prinses Josephine Charlottelaan 72,3,C,287,0,1,0,188,0,2,0,Good,0,1,1,0,3,Installed,Gas,10654916,9120,545000,1,Oost-Vlaanderen,Flanders
4598,€169000,Bischoppenhoflaan 284,2,B,116,0,0,0,0,30,2,1965,To be done up,0,1,0,0,1,Semi equipped,Gas,10654915,2100,169000,0,Antwerpen,Flanders
4599,€490000,Rue de Wynants 9,4,Not specified,Not specified,0,0,0,0,0,0,1992,As new,0,2,0,1,0,0,Gas,153,20,490000,0,,
4600,€185000,Rue de Wynants 9,2,Not specified,Not specified,0,0,0,0,0,0,2008,As new,0,1,0,0,0,0,Fuel oil,8,3,185000,0,,
4601,€490000,Rue de Wynants 9,4,Not specified,Not specified,0,0,0,0,0,0,1992,As new,0,2,0,1,0,0,Gas,153,20,490000,0,,
4602,€250000,Rue de Wynants 9,3,Not specified,Not specified,0,1,0,0,0,0,2008,As new,0,2,0,0,0,0,Fuel oil,8,3,250000,1,,
4603,€330000,Rue de Wynants 9,3,Not specified,Not specified,0,0,0,0,0,0,0,Good,0,2,0,0,2,0,Gas,2031,152,330000,0,,
4604,€240000,Fritz Vinckelaan 101,3,Not specified,Not specified,0,0,0,0,0,2,0,0,0,1,0,0,2,Installed,0,10654907,8400,240000,0,West-Vlaanderen,Flanders
4605,€230000,Gasthuisstraat 1,2,B,152.68,0,0,0,0,0,2,2012,0,0,1,0,0,1,0,0,10654905,8500,230000,0,West-Vlaanderen,Flanders
4606,€169000,Gasthuisstraat 1,3,C,246,0,0,0,387,0,2,1929,Good,0,1,0,0,1,0,0,10607781,8520,169000,0,West-Vlaanderen,Flanders
4607,€239900,Casinostraat 3,2,B,178,0,1,12,90,26,2,1937,Good,0,1,0,0,2,Installed,0,10654903,9140,239900,1,Oost-Vlaanderen,Flanders
4608,€499000,Marktstraat 55,3,E,421,0,0,0,276,0,3,1949,Good,0,1,0,0,2,Installed,0,10654902,9990,499000,0,Oost-Vlaanderen,Flanders
4609,€295000,Schrieksebaan 69,3,F,1003,0,0,0,4000,0,4,1930,To renovate,0,1,0,0,1,Installed,Fuel oil,10654900,2230,295000,0,Antwerpen,Flanders
4610,€309000,Komvest 1,1,B,150,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,10654899,8300,309000,0,West-Vlaanderen,Flanders
4611,€1250000,Dumortierlaan 89,3,Not specified,Not specified,0,1,22,0,0,2,1996,As new,0,3,0,0,0,0,0,10654898,8300,1250000,1,West-Vlaanderen,Flanders
4612,€395000,Dumortierlaan 89,1,Not specified,Not specified,0,0,0,0,0,2,0,Good,0,1,0,0,0,0,0,10654897,8300,395000,0,West-Vlaanderen,Flanders
